nome,url_feed,url_sito,categoria,url_nuevo,reparacion,p0_dias,p2_orden,p3_utiles,p3_media,p3_cat,p3_correlati,p3_esplorazione,p4_pdf,p5_sumario_med,p6_distintos,p8_canal,p8_canonico,p7_licencia,p9_muro,p9_detalle,motivo
Postgres Weekly,https://postgresweekly.com/rss/,https://postgresweekly.com/,sql_base,,,0,True,4,7.35,4,0,0,0,4563,4/4,https://postgresweekly.com/,,,0/3,,p7 sin licencia
Use The Index Luke,https://use-the-index-luke.com/blog/feed.xml,https://use-the-index-luke.com/,sql_base,,,,,,,,,,,,,,,,,,p1 roto (HTTP 404); sin reparación entre 1 candidatos
Modern SQL,https://modern-sql.com/feed,https://modern-sql.com/,sql_base,,,91,True,10,2.14,10,0,0,0,5123,10/10,https://modern-sql.com/,https://modern-sql.com/,Copyright (todos los derechos reservados) | https://modern-sql.com/,0/3,,ACEPTADA
Haki Benita,https://hakibenita.com/feeds/all.atom.xml,https://hakibenita.com/,sql_base,,,76,True,9,3.68,8,0,1,0,25860,10/10,https://hakibenita.com/,,Copyright (todos los derechos reservados) | https://hakibenita.com/,0/3,,ACEPTADA
Database Architects,https://databasearchitects.blogspot.com/feeds/posts/default,https://databasearchitects.blogspot.com/,ottimizzazione,,,147,True,8,3.31,2,0,2,0,3563,10/10,https://databasearchitects.blogspot.com/,http://databasearchitects.blogspot.com/,,0/3,,p7 sin licencia
Small Datum,https://smalldatum.blogspot.com/feeds/posts/default,https://smalldatum.blogspot.com/,ottimizzazione,,,95,True,10,4.65,2,0,0,0,6481,10/10,https://smalldatum.blogspot.com/,http://smalldatum.blogspot.com/,CC BY-SA 3.0 | https://smalldatum.blogspot.com/,0/3,,ACEPTADA
jOOQ blog,https://blog.jooq.org/feed/,https://blog.jooq.org/,ottimizzazione,,,139,True,7,1.56,0,0,0,0,416,10/10,https://blog.jooq.org,https://blog.jooq.org/,,0/3,,p7 sin licencia
Joe Reis,https://joereis.substack.com/feed,https://joereis.substack.com/,modellazione,,,3,True,9,2.77,4,0,1,0,14922,10/10,https://joereis.substack.com,https://joereis.substack.com/,,0/3,,p7 sin licencia
Martin Fowler,https://martinfowler.com/feed.atom,https://martinfowler.com/,modellazione,,,6,True,6,3.02,0,0,0,0,2624,10/10,https://martinfowler.com,https://martinfowler.com/,Copyright (todos los derechos reservados) | https://martinfowler.com/,0/3,,ACEPTADA
benn.substack,https://benn.substack.com/feed,https://benn.substack.com/,modellazione,,,10,True,7,2.63,0,0,3,0,15552,10/10,https://benn.substack.com,https://benn.substack.com/,,0/3,,p7 sin licencia
Data Products,https://dataproducts.substack.com/feed,https://dataproducts.substack.com/,modellazione,,,75,True,10,3.87,8,0,0,0,15198,10/10,https://dataproducts.substack.com,https://dataproducts.substack.com/,,0/3,,p7 sin licencia
Tidy First,https://tidyfirst.substack.com/feed,https://tidyfirst.substack.com/,lettura_codice,,,5,True,3,1.6,1,0,2,0,3190,10/10,https://newsletter.kentbeck.com,https://newsletter.kentbeck.com/,,0/3,,p3 3/10; p7 sin licencia
Julia Evans,https://jvns.ca/atom.xml,https://jvns.ca/,lettura_codice,,,64,True,5,3.18,1,0,5,0,6926,10/10,https://jvns.ca,https://jvns.ca/,Copyright (todos los derechos reservados) | https://jvns.ca/,0/3,,ACEPTADA
Pragmatic Engineer,https://newsletter.pragmaticengineer.com/feed,https://newsletter.pragmaticengineer.com/,lettura_codice,,,0,True,9,2.66,1,0,0,0,10799,10/10,https://newsletter.pragmaticengineer.com,https://newsletter.pragmaticengineer.com/,,2/3,"newsletter.pragmaticengineer.com: ""this post is for paid subscribers""; newsletter.pragmaticengineer.com: ""this post is for paid subscribers""",p7 sin licencia; p9 muro 2
R-bloggers,https://www.r-bloggers.com/feed/,https://www.r-bloggers.com/,statistica,,,0,True,7,1.94,3,0,2,0,11446,10/10,https://www.r-bloggers.com,https://www.r-bloggers.com/,Copyright (todos los derechos reservados) | https://www.r-bloggers.com/,0/3,,ACEPTADA
